countryiso3code,date,value
AFE,2023,750503764.0
AFE,2022,731821393.0
AFE,2021,713090928.0
AFE,2020,694446100.0
AFE,2019,675950189.0
AFE,2018,657801085.0
AFE,2017,640058741.0
AFE,2016,623369401.0
AFE,2015,607123269.0
AFE,2014,590968990.0
AFE,2013,575202699.0
AFE,2012,559609961.0
AFE,2011,544737983.0
AFE,2010,530308387.0
AFE,2009,516003448.0
AFE,2008,502070763.0
AFE,2007,488580707.0
AFE,2006,475606210.0
AFE,2005,463076637.0
AFE,2004,450928044.0
AFE,2003,439173286.0
AFE,2002,427820358.0
AFE,2001,416807868.0
AFE,2000,406156661.0
AFW,2023,509398589.0
AFW,2022,497387180.0
AFW,2021,485920997.0
AFW,2020,474569351.0
AFW,2019,463365429.0
AFW,2018,452195915.0
AFW,2017,440882906.0
AFW,2016,429454743.0
AFW,2015,418127845.0
AFW,2014,406992047.0
AFW,2013,396030207.0
AFW,2012,385360349.0
AFW,2011,374790143.0
AFW,2010,364358270.0
AFW,2009,354343844.0
AFW,2008,344586109.0
AFW,2007,334984176.0
AFW,2006,325663158.0
AFW,2005,316588476.0
AFW,2004,307725100.0
AFW,2003,299142845.0
AFW,2002,290841795.0
AFW,2001,282780717.0
AFW,2000,274968446.0
ARB,2023,482105978.0
ARB,2022,471352066.0
ARB,2021,460646603.0
ARB,2020,453723239.0
ARB,2019,444281315.0
ARB,2018,435998060.0
ARB,2017,428315886.0
ARB,2016,419808341.0
ARB,2015,410190679.0
ARB,2014,400231008.0
ARB,2013,390954281.0
ARB,2012,381030177.0
ARB,2011,372054934.0
ARB,2010,363568534.0
ARB,2009,356386673.0
ARB,2008,347684619.0
ARB,2007,338947976.0
ARB,2006,330526310.0
ARB,2005,322628451.0
ARB,2004,315060277.0
ARB,2003,307815105.0
ARB,2002,300691509.0
ARB,2001,293580252.0
ARB,2000,286548096.0
CSS,2023,4519904.0
CSS,2022,4497310.0
CSS,2021,4479167.0
CSS,2020,4459302.0
CSS,2019,4443134.0
CSS,2018,4407658.0
CSS,2017,4366140.0
CSS,2016,4341333.0
CSS,2015,4314191.0
CSS,2014,4286546.0
CSS,2013,4257682.0
CSS,2012,4228445.0
CSS,2011,4201107.0
CSS,2010,4173335.0
CSS,2009,4146899.0
CSS,2008,4124966.0
CSS,2007,4098855.0
CSS,2006,4072929.0
CSS,2005,4049468.0
CSS,2004,4080569.0
CSS,2003,4050990.0
CSS,2002,4018796.0
CSS,2001,3987087.0
CSS,2000,3956229.0
CEB,2023,100175859.0
CEB,2022,100071871.0
CEB,2021,100205732.0
